"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectpandas:typeissue_reply:author_groupmember:year2012"	0.154172349292687	0.0115640964355141	340741.446605659	13.3319840553399	0.000000000000000000000000000000000000000154408086046201
"projectscikit-image:typeissue_reply:author_groupmember:year2012"	0.179757509634344	0.0375550409877249	503532.868563992	4.7865081466187	0.00000169756085060629
"projectscikit-learn:typeissue_reply:author_groupmember:year2012"	0.206044429949073	0.00950286569560594	315967.456006829	21.6823468361072	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000358875088216218
"projectmatplotlib:typepr_reply:author_groupmember:year2012"	0.237553773538278	0.0104409403591808	335708.269956866	22.7521435202332	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016693458884114
"projectnumpy:typepr_reply:author_groupmember:year2012"	0.182680614419971	0.0124705885203103	448213.58866202	14.6489168592523	0.00000000000000000000000000000000000000000000000140474056165924
"projectpandas:typepr_reply:author_groupmember:year2012"	0.248879426564793	0.0162746139119506	485160.3702657	15.2924934447778	0.0000000000000000000000000000000000000000000000000000882739967274838
"projectscikit-image:typepr_reply:author_groupmember:year2012"	0.272459680736851	0.0159503244853007	470732.248171976	17.0817641351398	0.0000000000000000000000000000000000000000000000000000000000000000212336924674199
"projectscikit-learn:typepr_reply:author_groupmember:year2012"	0.280197719737644	0.00745957224855591	179652.921184812	37.5621698404875	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000140846363083156
"projectscipy:typepr_reply:author_groupmember:year2012"	0.247199062504253	0.0124831354000437	474359.621263073	19.802642091296	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000306441966131549
"projectmatplotlib:typeissue_post:author_groupnonmember:year2012"	0.0877585743556057	0.0288899768025269	364963.716680399	3.03768240990522	0.00238421902399956
"projectmayavi:typeissue_post:author_groupnonmember:year2012"	0.00103161203022742	0.0952345559910263	433396.675175045	0.010832328869414	0.991357226046773
"projectnumpy:typeissue_post:author_groupnonmember:year2012"	-0.0191913520053818	0.0495073999735983	440107.248942457	-0.387646129984938	0.698278113785457
"projectpandas:typeissue_post:author_groupnonmember:year2012"	0.0809572833127781	0.019699780739544	277939.486205253	4.10955250635202	0.0000396540091946592
"projectscikit-image:typeissue_post:author_groupnonmember:year2012"	-0.104121343819609	0.0736252641731567	443846.479150975	-1.4142067263043	0.157301915055436
"projectscikit-learn:typeissue_post:author_groupnonmember:year2012"	-0.00946684862512275	0.0345992717216822	340370.248928589	-0.273614100934679	0.784381362441742
"projectmatplotlib:typepr_post:author_groupnonmember:year2012"	0.125461366179992	0.0315122751586159	434695.086082972	3.98134903140083	0.0000685363649692134
"projectmayavi:typepr_post:author_groupnonmember:year2012"	-0.0292061643726328	0.108996781938508	484674.854630616	-0.267954373085161	0.788734553807359
"projectnumpy:typepr_post:author_groupnonmember:year2012"	0.0531597246403864	0.0361349290214758	500597.155594371	1.47114512412055	0.141252502535133
"projectpandas:typepr_post:author_groupnonmember:year2012"	0.119627778265346	0.0382931912727156	402665.158303449	3.12399604967325	0.00178425505954384
"projectscikit-image:typepr_post:author_groupnonmember:year2012"	0.119659279419972	0.0528341714779205	486261.658908488	2.26480847664996	0.0235248731932041
"projectscikit-learn:typepr_post:author_groupnonmember:year2012"	0.204444251829303	0.0335220362800261	394378.989590955	6.0988016993204	0.00000000106965289191598
"projectscipy:typepr_post:author_groupnonmember:year2012"	0.105597096105689	0.038055251804804	442413.113416041	2.77483635234701	0.00552318072849038
"projectmatplotlib:typeissue_reply:author_groupnonmember:year2012"	0.216705077258466	0.0224323536940326	240001.647507678	9.66038072572442	0.000000000000000000000448343852519673
"projectmayavi:typeissue_reply:author_groupnonmember:year2012"	0.079978046010164	0.0551689460862438	284209.310373775	1.4496932003221	0.147145196189165
"projectnumpy:typeissue_reply:author_groupnonmember:year2012"	0.115104784928796	0.0367233454441215	420905.089660771	3.13437633572737	0.00172231655830472
"projectpandas:typeissue_reply:author_groupnonmember:year2012"	0.253444096189105	0.0173263674595604	150101.56347891	14.6276533024386	0.00000000000000000000000000000000000000000000000202087213675137
"projectscikit-image:typeissue_reply:author_groupnonmember:year2012"	0.167856768217982	0.0680175017458434	309858.972566171	2.46784671458828	0.0135933873690248
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2012"	0.211340092144597	0.0230048707651165	131643.488971542	9.18675415751794	0.0000000000000000000410515950297539
"projectmatplotlib:typepr_reply:author_groupnonmember:year2012"	0.283750537034688	0.0222640547022831	298393.097957836	12.7447826026762	0.000000000000000000000000000000000000340858275504732
