"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectscikit-image:typeissue_reply:author_groupnonmember:year2013"	0.135494708778142	0.0197925407663196	400881.57476182	6.84574610091035	0.000000000007618698321399
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2013"	0.14262286863156	0.0100995564573273	264960.990925415	14.1216962580655	0.00000000000000000000000000000000000000000000289967858195015
"projectscipy:typeissue_reply:author_groupnonmember:year2013"	0.123107244191014	0.0103586344478181	366705.154762621	11.8845051257644	0.0000000000000000000000000000000144454568849049
"projectmatplotlib:typepr_reply:author_groupnonmember:year2013"	0.145514973145919	0.00929203676583983	383623.821788548	15.6601805193962	0.000000000000000000000000000000000000000000000000000000294497436431588
"projectmayavi:typepr_reply:author_groupnonmember:year2013"	0.297604831287569	0.0453126763519156	498177.48865284	6.56780519818022	0.000000000051112170692599
"projectnumpy:typepr_reply:author_groupnonmember:year2013"	0.138875701229139	0.00946899976189619	441528.973681049	14.6663538622087	0.00000000000000000000000000000000000000000000000108720014449568
"projectpandas:typepr_reply:author_groupnonmember:year2013"	0.151432469436459	0.00740052799505771	380649.95353424	20.4623872158298	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523110511730531
"projectscikit-image:typepr_reply:author_groupnonmember:year2013"	0.150402546185401	0.0110209234287775	399861.846299188	13.6470003768173	0.00000000000000000000000000000000000000000215020991231761
"projectscikit-learn:typepr_reply:author_groupnonmember:year2013"	0.168789630319281	0.0077738563163053	351440.911509343	21.7124710634608	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018330611425145
"projectscipy:typepr_reply:author_groupnonmember:year2013"	0.15357694797087	0.00918388727253995	469110.531922584	16.7224339120613	0.00000000000000000000000000000000000000000000000000000000000000938235146278502
"projectmatplotlib:typeissue_post:author_groupmember:year2014"	0.0883050766119101	0.0181026732285213	497137.808489012	4.87801307006873	0.00000107192865964343
"projectnumpy:typeissue_post:author_groupmember:year2014"	0.0861998020144889	0.0205991035562308	494637.370720098	4.18463851007804	0.0000285669478195901
"projectpandas:typeissue_post:author_groupmember:year2014"	0.0713832690473132	0.00745564293836149	504292.434595238	9.57439480906806	0.00000000000000000000102892531909316
"projectscikit-image:typeissue_post:author_groupmember:year2014"	0.0253428379620828	0.0272099249835238	493256.678695912	0.931382132711813	0.351656385744177
"projectscikit-learn:typeissue_post:author_groupmember:year2014"	0.0674280223569625	0.0164330212217476	498129.238860739	4.10320302317432	0.0000407534107582335
"projectscipy:typeissue_post:author_groupmember:year2014"	0.0758096939152731	0.0175883536978281	496523.265062699	4.31022113938011	0.0000163122710689741
"projectmatplotlib:typepr_post:author_groupmember:year2014"	0.0924276953378515	0.0108645923952839	506033.178087211	8.50724003028151	0.0000000000000000178596708597125
"projectmayavi:typepr_post:author_groupmember:year2014"	-0.0620730997122673	0.0663994026049266	500036.780173842	-0.93484424975326	0.349869023012499
"projectnumpy:typepr_post:author_groupmember:year2014"	0.0718725240793641	0.0101421403483525	506079.828635378	7.08652430460987	0.00000000000137700269512435
"projectpandas:typepr_post:author_groupmember:year2014"	0.0676252259302187	0.00712985516725618	501229.601566648	9.48479658335659	0.00000000000000000000243860224907073
"projectscikit-image:typepr_post:author_groupmember:year2014"	0.0571220803358153	0.0150015547166635	501428.830056824	3.80774402484864	0.000140257008647537
"projectscikit-learn:typepr_post:author_groupmember:year2014"	0.0640327169780257	0.0114603270394911	504821.390701334	5.58733766997883	0.0000000230695468116738
"projectscipy:typepr_post:author_groupmember:year2014"	0.0764285539819145	0.0106124292108968	505417.159378234	7.20179635247297	0.000000000000595065482473956
"projectmatplotlib:typeissue_reply:author_groupmember:year2014"	0.111599707016409	0.00541911355186572	451872.89804333	20.5937199780556	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034526469867544
"projectmayavi:typeissue_reply:author_groupmember:year2014"	-0.0503189943899268	0.0465222959028444	506339.476610933	-1.08161029917808	0.279426241296607
"projectnumpy:typeissue_reply:author_groupmember:year2014"	0.0785203248510973	0.00510740373572588	451338.042991306	15.3738237495998	0.0000000000000000000000000000000000000000000000000000253028135649432
"projectpandas:typeissue_reply:author_groupmember:year2014"	0.102509687178213	0.00357355887999264	252099.350073315	28.6856018385861	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112939156977156
"projectscikit-image:typeissue_reply:author_groupmember:year2014"	0.0878481530585979	0.0087299198163685	505794.138785838	10.0628820088225	0.00000000000000000000000810211048551022
