"t_stats" "p_value"
"issue_reply:nonmember:scikit-learnTRUE:year2014-issue_reply:nonmember:scikit-learnFALSE:year2014" -1.10624037173536 0.268622493013484
"pr_reply:nonmember:scikit-learnTRUE:year2014-pr_reply:nonmember:scikit-learnFALSE:year2014" 1.53333620306017 0.125193038869962
"issue_post:member:scikit-learnTRUE:year2015-issue_post:member:scikit-learnFALSE:year2015" -0.949537164460599 0.342347479439541
"pr_post:member:scikit-learnTRUE:year2015-pr_post:member:scikit-learnFALSE:year2015" 1.26953392088046 0.204250700249929
"issue_reply:member:scikit-learnTRUE:year2015-issue_reply:member:scikit-learnFALSE:year2015" -2.75425387773554 0.00588261165481163
"pr_reply:member:scikit-learnTRUE:year2015-pr_reply:member:scikit-learnFALSE:year2015" -2.09087941511147 0.0365388748077768
"issue_post:nonmember:scikit-learnTRUE:year2015-issue_post:nonmember:scikit-learnFALSE:year2015" 0.550423533370918 0.58202891108344
"pr_post:nonmember:scikit-learnTRUE:year2015-pr_post:nonmember:scikit-learnFALSE:year2015" -0.880638962323427 0.378513263129262
"issue_reply:nonmember:scikit-learnTRUE:year2015-issue_reply:nonmember:scikit-learnFALSE:year2015" -0.607637224964817 0.54342810614072
"pr_reply:nonmember:scikit-learnTRUE:year2015-pr_reply:nonmember:scikit-learnFALSE:year2015" 0.310987026961295 0.755810483970766
"issue_post:member:scikit-learnTRUE:year2016-issue_post:member:scikit-learnFALSE:year2016" 0.810312753743936 0.417760447115618
"pr_post:member:scikit-learnTRUE:year2016-pr_post:member:scikit-learnFALSE:year2016" 0.619937614598408 0.535298860279452
"issue_reply:member:scikit-learnTRUE:year2016-issue_reply:member:scikit-learnFALSE:year2016" 0.3434075573054 0.731291874930709
"pr_reply:member:scikit-learnTRUE:year2016-pr_reply:member:scikit-learnFALSE:year2016" -1.53986861563036 0.123592382270403
"issue_post:nonmember:scikit-learnTRUE:year2016-issue_post:nonmember:scikit-learnFALSE:year2016" -1.63939172119981 0.101131704706172
"pr_post:nonmember:scikit-learnTRUE:year2016-pr_post:nonmember:scikit-learnFALSE:year2016" 1.10961465953262 0.267165111495963
"issue_reply:nonmember:scikit-learnTRUE:year2016-issue_reply:nonmember:scikit-learnFALSE:year2016" 0.786571091619248 0.431532987494649
"pr_reply:nonmember:scikit-learnTRUE:year2016-pr_reply:nonmember:scikit-learnFALSE:year2016" 1.12097112522477 0.262300153477977
"issue_post:member:scikit-learnTRUE:year2017-issue_post:member:scikit-learnFALSE:year2017" 1.93754667062608 0.052678554181298
"pr_post:member:scikit-learnTRUE:year2017-pr_post:member:scikit-learnFALSE:year2017" -0.34853676974116 0.727437104556631
"issue_reply:member:scikit-learnTRUE:year2017-issue_reply:member:scikit-learnFALSE:year2017" 1.95089263134792 0.0510698193928651
"pr_reply:member:scikit-learnTRUE:year2017-pr_reply:member:scikit-learnFALSE:year2017" 0.111602852299683 0.911138310345855
"issue_post:nonmember:scikit-learnTRUE:year2017-issue_post:nonmember:scikit-learnFALSE:year2017" -0.42862314001831 0.668197502823439
"pr_post:nonmember:scikit-learnTRUE:year2017-pr_post:nonmember:scikit-learnFALSE:year2017" 0.17526221961492 0.860873596624833
"issue_reply:nonmember:scikit-learnTRUE:year2017-issue_reply:nonmember:scikit-learnFALSE:year2017" 1.40414778453618 0.160274846810241
"pr_reply:nonmember:scikit-learnTRUE:year2017-pr_reply:nonmember:scikit-learnFALSE:year2017" -1.65380235188183 0.0981676779629399
"issue_post:member:scikit-learnTRUE:year2018-issue_post:member:scikit-learnFALSE:year2018" -1.75157652892195 0.0798466513837854
"pr_post:member:scikit-learnTRUE:year2018-pr_post:member:scikit-learnFALSE:year2018" -2.46159911254336 0.0138319174771202
"issue_reply:member:scikit-learnTRUE:year2018-issue_reply:member:scikit-learnFALSE:year2018" -0.37045664667698 0.711042273248871
"pr_reply:member:scikit-learnTRUE:year2018-pr_reply:member:scikit-learnFALSE:year2018" -0.855787340852635 0.392115418643364
"issue_post:nonmember:scikit-learnTRUE:year2018-issue_post:nonmember:scikit-learnFALSE:year2018" 2.4500366007412 0.0142841694119002
